ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-09T13:05:22Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:23Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:24Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:25Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:26Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:27Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:28Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:30Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:31Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:32Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:33Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:34Z,95128,0.0,0.0,5720,1227972,6
2026-07-09T13:05:35Z,95128,0.0,0.0,5724,1227972,6
2026-07-09T13:05:36Z,95128,0.0,0.0,5724,1227972,6
2026-07-09T13:05:37Z,95128,0.0,0.0,5724,1227972,6
2026-07-09T13:05:38Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:39Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:40Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:41Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:42Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:44Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:45Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:46Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:47Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:48Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:49Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:50Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:51Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:52Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:53Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:55Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:56Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:57Z,95128,0.0,0.0,5724,1227972,7
2026-07-09T13:05:58Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:05:59Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:00Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:01Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:02Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:03Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:04Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:05Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:07Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:08Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:09Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:10Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:11Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:12Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:13Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:14Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:15Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:16Z,95128,0.0,0.0,5732,1227972,7
2026-07-09T13:06:18Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:19Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:20Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:21Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:22Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:23Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:24Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:25Z,95128,0.0,0.0,5860,1227972,7
2026-07-09T13:06:26Z,95128,0.0,0.0,5860,1227972,7
