ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-09T13:07:28Z,95850,12.5,0.1,8856,1228868,7
2026-07-09T13:07:29Z,95850,4.0,0.1,10084,1228868,8
2026-07-09T13:07:30Z,95850,2.9,0.1,10148,1228868,9
2026-07-09T13:07:32Z,95850,2.6,0.1,9612,1229124,9
2026-07-09T13:07:33Z,95850,2.2,0.1,9488,1229124,9
2026-07-09T13:07:34Z,95850,2.3,0.1,10120,1229124,9
2026-07-09T13:07:35Z,95850,2.2,0.1,9252,1229124,9
2026-07-09T13:07:36Z,95850,2.3,0.1,10456,1229124,9
2026-07-09T13:07:37Z,95850,2.2,0.1,10752,1229124,9
2026-07-09T13:07:38Z,95850,2.1,0.1,10724,1229124,9
2026-07-09T13:07:39Z,95850,2.0,0.1,9732,1229124,9
2026-07-09T13:07:40Z,95850,2.2,0.1,10140,1229124,9
2026-07-09T13:07:41Z,95850,2.2,0.1,9956,1229124,9
2026-07-09T13:07:42Z,95850,2.2,0.1,10672,1229124,9
2026-07-09T13:07:43Z,95850,2.2,0.1,9820,1229124,9
2026-07-09T13:07:44Z,95850,2.1,0.1,10052,1229124,9
2026-07-09T13:07:46Z,95850,2.1,0.1,9596,1229124,9
2026-07-09T13:07:47Z,95850,2.1,0.1,9292,1229124,9
2026-07-09T13:07:48Z,95850,2.1,0.1,10436,1229124,9
2026-07-09T13:07:49Z,95850,2.1,0.1,9924,1229124,9
2026-07-09T13:07:50Z,95850,2.1,0.1,10708,1229124,9
2026-07-09T13:07:51Z,95850,2.1,0.1,9248,1229124,9
2026-07-09T13:07:52Z,95850,2.0,0.1,10248,1229124,9
2026-07-09T13:07:53Z,95850,2.0,0.1,9784,1229124,9
2026-07-09T13:07:54Z,95850,2.0,0.1,9448,1229124,9
2026-07-09T13:07:55Z,95850,2.2,0.1,10476,1229124,9
2026-07-09T13:07:56Z,95850,2.1,0.1,10280,1229124,9
2026-07-09T13:07:57Z,95850,2.1,0.1,9576,1229124,9
2026-07-09T13:07:58Z,95850,2.2,0.1,10252,1229124,9
2026-07-09T13:08:00Z,95850,2.1,0.1,9824,1229124,9
2026-07-09T13:08:01Z,95850,2.1,0.1,9272,1229124,9
2026-07-09T13:08:02Z,95850,2.1,0.1,10256,1229124,9
2026-07-09T13:08:03Z,95850,2.1,0.1,9768,1229124,9
2026-07-09T13:08:04Z,95850,2.1,0.1,11244,1229124,9
2026-07-09T13:08:05Z,95850,2.1,0.1,9736,1229124,9
2026-07-09T13:08:06Z,95850,2.1,0.1,10080,1229124,9
2026-07-09T13:08:07Z,95850,2.1,0.1,10772,1229124,9
2026-07-09T13:08:08Z,95850,2.1,0.1,9960,1229124,9
2026-07-09T13:08:09Z,95850,2.1,0.1,9976,1229124,9
2026-07-09T13:08:10Z,95850,2.1,0.1,10216,1229124,9
2026-07-09T13:08:11Z,95850,2.1,0.1,9720,1229124,9
2026-07-09T13:08:12Z,95850,2.1,0.1,10268,1229124,9
2026-07-09T13:08:13Z,95850,2.1,0.1,10204,1229124,9
2026-07-09T13:08:15Z,95850,2.1,0.1,10188,1229124,9
2026-07-09T13:08:16Z,95850,2.1,0.1,9600,1229124,9
2026-07-09T13:08:17Z,95850,2.1,0.1,10224,1229124,9
2026-07-09T13:08:18Z,95850,2.1,0.1,9792,1229124,9
2026-07-09T13:08:19Z,95850,2.1,0.1,10340,1229124,9
2026-07-09T13:08:20Z,95850,2.1,0.1,9348,1229124,9
2026-07-09T13:08:21Z,95850,2.1,0.1,10220,1229124,9
2026-07-09T13:08:22Z,95850,2.1,0.1,10172,1229124,9
2026-07-09T13:08:23Z,95850,2.1,0.1,9956,1229124,9
2026-07-09T13:08:24Z,95850,2.1,0.1,10276,1229124,9
2026-07-09T13:08:25Z,95850,2.1,0.1,9636,1229124,9
2026-07-09T13:08:26Z,95850,2.1,0.1,10280,1229124,9
2026-07-09T13:08:27Z,95850,2.1,0.1,10452,1229124,9
2026-07-09T13:08:28Z,95850,2.1,0.1,10288,1229124,9
2026-07-09T13:08:29Z,95850,2.1,0.1,9648,1229124,9
2026-07-09T13:08:31Z,95850,2.1,0.1,9480,1229124,9
2026-07-09T13:08:32Z,95850,2.1,0.1,10200,1229124,9
2026-07-09T13:08:33Z,95850,2.1,0.1,10288,1229124,9
2026-07-09T13:08:34Z,95850,2.1,0.1,10304,1229124,9
2026-07-09T13:08:35Z,95850,2.1,0.1,10304,1229124,9
2026-07-09T13:08:36Z,95850,2.0,0.1,10288,1229124,9
