ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-09T13:24:44Z,101751,22.2,0.1,10412,1228548,7
2026-07-09T13:24:46Z,101751,1.7,0.1,10816,1228612,8
2026-07-09T13:24:47Z,101751,1.3,0.1,10888,1228612,8
2026-07-09T13:24:48Z,101751,1.2,0.1,10444,1228612,8
2026-07-09T13:24:49Z,101751,1.1,0.1,9664,1228612,8
2026-07-09T13:24:50Z,101751,1.1,0.1,10112,1228612,8
2026-07-09T13:24:51Z,101751,1.0,0.1,9504,1228612,8
2026-07-09T13:24:52Z,101751,0.9,0.1,9508,1228612,8
2026-07-09T13:24:53Z,101751,1.0,0.1,9476,1228612,8
2026-07-09T13:24:54Z,101751,0.9,0.1,10116,1228612,8
2026-07-09T13:24:55Z,101751,0.8,0.1,10360,1228612,8
2026-07-09T13:24:56Z,101751,0.9,0.1,10200,1228868,8
2026-07-09T13:24:57Z,101751,0.8,0.1,9756,1228868,8
2026-07-09T13:24:58Z,101751,0.8,0.1,9908,1228868,8
2026-07-09T13:24:59Z,101751,0.8,0.1,10072,1228868,8
2026-07-09T13:25:00Z,101751,0.8,0.1,10072,1228868,8
2026-07-09T13:25:01Z,101751,0.8,0.1,10536,1228868,8
2026-07-09T13:25:02Z,101751,0.8,0.1,10408,1228868,8
2026-07-09T13:25:03Z,101751,0.8,0.1,10016,1228868,8
2026-07-09T13:25:04Z,101751,0.8,0.1,10536,1228868,8
2026-07-09T13:25:05Z,101751,0.9,0.1,9896,1228868,8
2026-07-09T13:25:06Z,101751,0.9,0.1,10796,1228868,8
2026-07-09T13:25:08Z,101751,0.9,0.1,10352,1228868,8
2026-07-09T13:25:09Z,101751,0.9,0.1,9904,1228868,8
2026-07-09T13:25:10Z,101751,0.9,0.1,9904,1228868,8
2026-07-09T13:25:11Z,101751,0.9,0.1,10088,1228868,8
2026-07-09T13:25:12Z,101751,0.9,0.1,10668,1228868,8
2026-07-09T13:25:13Z,101751,0.8,0.1,10616,1228868,8
2026-07-09T13:25:14Z,101751,0.8,0.1,10428,1228868,8
2026-07-09T13:25:15Z,101751,0.9,0.1,10240,1228868,8
2026-07-09T13:25:16Z,101751,0.8,0.1,10296,1228868,8
2026-07-09T13:25:17Z,101751,0.8,0.1,10296,1228868,8
2026-07-09T13:25:18Z,101751,0.8,0.1,10556,1228868,8
2026-07-09T13:25:19Z,101751,0.8,0.1,10300,1228868,8
2026-07-09T13:25:20Z,101751,0.8,0.1,11060,1228868,8
2026-07-09T13:25:21Z,101751,0.8,0.1,10700,1228868,8
2026-07-09T13:25:22Z,101751,0.8,0.1,9868,1228868,8
2026-07-09T13:25:23Z,101751,0.8,0.1,11060,1228868,8
2026-07-09T13:25:24Z,101751,0.8,0.1,11064,1228868,8
2026-07-09T13:25:25Z,101751,0.8,0.1,10104,1228868,8
2026-07-09T13:25:26Z,101751,0.8,0.1,9336,1228868,8
2026-07-09T13:25:27Z,101751,0.8,0.1,9720,1228868,8
2026-07-09T13:25:28Z,101751,0.8,0.1,10016,1228868,8
2026-07-09T13:25:29Z,101751,0.8,0.1,9824,1228868,8
2026-07-09T13:25:30Z,101751,0.8,0.1,9616,1228868,8
2026-07-09T13:25:32Z,101751,0.8,0.1,9296,1228868,8
2026-07-09T13:25:33Z,101751,0.8,0.1,9716,1228868,8
2026-07-09T13:25:34Z,101751,0.8,0.1,9664,1228868,8
2026-07-09T13:25:35Z,101751,0.8,0.1,10020,1228868,8
2026-07-09T13:25:36Z,101751,0.8,0.1,9280,1228868,8
2026-07-09T13:25:37Z,101751,0.8,0.1,9384,1228868,8
2026-07-09T13:25:38Z,101751,0.8,0.1,10700,1228868,8
2026-07-09T13:25:39Z,101751,0.8,0.1,9840,1228868,8
2026-07-09T13:25:40Z,101751,0.8,0.1,9176,1228868,8
2026-07-09T13:25:41Z,101751,0.8,0.1,9248,1228868,8
2026-07-09T13:25:42Z,101751,0.8,0.1,9284,1228868,8
2026-07-09T13:25:43Z,101751,0.8,0.1,9224,1228868,8
2026-07-09T13:25:44Z,101751,0.8,0.1,9740,1228868,8
2026-07-09T13:25:45Z,101751,0.8,0.1,9764,1228868,8
2026-07-09T13:25:46Z,101751,0.8,0.1,9904,1228868,8
2026-07-09T13:25:47Z,101751,0.8,0.1,10020,1228868,8
2026-07-09T13:25:48Z,101751,0.8,0.1,10100,1228868,8
2026-07-09T13:25:49Z,101751,0.8,0.1,10100,1228868,8
2026-07-09T13:25:50Z,101751,0.8,0.1,10100,1228868,8
2026-07-09T13:25:51Z,101751,0.8,0.1,10048,1228868,8
2026-07-09T13:25:52Z,101751,0.8,0.1,10624,1228868,8
