ts,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,threads
2026-07-09T13:18:16Z,99582,27.2,0.2,12824,1228612,7
2026-07-09T13:18:17Z,99582,12.8,0.7,46072,1229188,7
2026-07-09T13:18:18Z,99582,6.8,0.7,46188,1229188,7
2026-07-09T13:18:19Z,99582,5.2,0.7,46260,1229188,7
2026-07-09T13:18:20Z,99582,3.9,0.7,46432,1229444,8
2026-07-09T13:18:21Z,99582,3.5,0.7,45952,1229444,8
2026-07-09T13:18:22Z,99582,3.1,0.7,45972,1229444,8
2026-07-09T13:18:23Z,99582,2.7,0.7,45996,1229508,8
2026-07-09T13:18:25Z,99582,2.4,0.7,46564,1229764,8
2026-07-09T13:18:26Z,99582,2.3,0.7,46692,1229764,8
2026-07-09T13:18:27Z,99582,2.0,0.7,46708,1229764,8
2026-07-09T13:18:28Z,99582,2.0,0.7,46712,1229764,8
2026-07-09T13:18:29Z,99582,1.9,0.7,46720,1229764,8
2026-07-09T13:18:30Z,99582,1.8,0.7,46736,1229764,8
2026-07-09T13:18:31Z,99582,1.7,0.7,46736,1229764,8
2026-07-09T13:18:32Z,99582,1.7,0.7,46792,1229764,8
2026-07-09T13:18:33Z,99582,1.6,0.7,46792,1229764,8
2026-07-09T13:18:34Z,99582,1.6,0.7,46796,1229828,8
2026-07-09T13:18:35Z,99582,1.5,0.7,46796,1229828,8
2026-07-09T13:18:36Z,99582,1.5,0.7,46800,1229828,8
2026-07-09T13:18:37Z,99582,1.4,0.7,46800,1229828,8
2026-07-09T13:18:38Z,99582,1.5,0.7,46892,1229828,8
2026-07-09T13:18:39Z,99582,1.4,0.7,46892,1229828,8
2026-07-09T13:18:40Z,99582,1.4,0.7,46892,1229828,8
2026-07-09T13:18:41Z,99582,1.3,0.7,46892,1229828,8
2026-07-09T13:18:42Z,99582,1.3,0.7,46892,1229828,8
2026-07-09T13:18:43Z,99582,1.3,0.7,46892,1229828,8
2026-07-09T13:18:44Z,99582,1.2,0.7,46892,1229828,8
2026-07-09T13:18:45Z,99582,1.3,0.7,46900,1229828,8
2026-07-09T13:18:46Z,99582,1.2,0.7,46900,1229828,8
2026-07-09T13:18:47Z,99582,1.2,0.7,46900,1229828,8
2026-07-09T13:18:48Z,99582,1.2,0.7,46900,1229828,8
2026-07-09T13:18:49Z,99582,1.2,0.7,46900,1229828,8
2026-07-09T13:18:50Z,99582,1.2,0.7,46948,1229828,8
2026-07-09T13:18:52Z,99582,1.2,0.7,46948,1229828,8
2026-07-09T13:18:53Z,99582,1.1,0.7,46948,1229828,8
2026-07-09T13:18:54Z,99582,1.1,0.7,46948,1229828,8
2026-07-09T13:18:55Z,99582,1.1,0.7,46948,1229828,8
2026-07-09T13:18:56Z,99582,1.1,0.7,46948,1229828,8
2026-07-09T13:18:57Z,99582,1.1,0.7,46948,1229828,8
2026-07-09T13:18:58Z,99582,1.1,0.7,46948,1229828,8
2026-07-09T13:18:59Z,99582,1.1,0.7,46948,1229828,8
2026-07-09T13:19:00Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:01Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:02Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:03Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:04Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:05Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:06Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:07Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:08Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:09Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:10Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:11Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:12Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:13Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:14Z,99582,1.0,0.7,46948,1229828,8
2026-07-09T13:19:15Z,99582,1.0,0.7,46956,1229828,8
2026-07-09T13:19:16Z,99582,1.0,0.7,46956,1229828,8
2026-07-09T13:19:17Z,99582,1.0,0.7,46956,1229828,8
2026-07-09T13:19:18Z,99582,1.0,0.7,46956,1229828,8
2026-07-09T13:19:19Z,99582,1.0,0.7,46956,1229828,8
2026-07-09T13:19:21Z,99582,0.9,0.7,46956,1229828,8
2026-07-09T13:19:22Z,99582,1.0,0.7,46956,1229828,8
2026-07-09T13:19:23Z,99582,0.9,0.7,46956,1229828,8
2026-07-09T13:19:24Z,99582,0.9,0.7,46956,1229828,8
